"Year_First","Year_Last","Country","PDF"
"1967",1967,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"1972",1972,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"1957",1957,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"1959",1959,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"1958",1958,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"1959",1959,"India","internal-pdf://4127196934.pdf;internal-pdf://0026608351.pdf;internal-pdf://1107032615.pdf"
"",NA,"Argentina",NA
"",NA,"Bolivia","internal-pdf://1073924692.pdf"
"",NA,"Bolivia","internal-pdf://1073924692.pdf"
"",NA,"Bolivia","internal-pdf://1073924692.pdf"
"1995",1995,"Paraguay","internal-pdf://2457284182.pdf;internal-pdf://0251931699.pdf;internal-pdf://0212899111.pdf;internal-pdf://3150091059.pdf;internal-pdf://1556179610.pdf"
"2002",2002,"Bolivia","internal-pdf://1073924692.pdf"
"2002",2002,"Bolivia","internal-pdf://1073924692.pdf"
"2002",2002,"Bolivia","internal-pdf://1073924692.pdf"
"2002",NA,"Spain",NA
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"1976",NA,"Ireland",NA
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"1988",NA,"Scotland",NA
"",NA,"Norway","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"1929",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",NA,"Scotland","internal-pdf://2896411763.pdf;internal-pdf://1577038386.pdf"
"",2008,"England",NA
"1991",NA,"Egypt",""
"1991",NA,"Egypt",""
"1999",NA,"Wales",""
"",NA,"England",NA
"",NA,"Northern Ireland",NA
"2002",NA,"England",NA
"2004",NA,"England",NA
"",NA,"England",NA
"",NA,"England",NA
"",NA,"England",NA
"2003",NA,"England",NA
"",NA,"England",NA
"2002",NA,"England",NA
"",NA,"Philippines","internal-pdf://3934412932.pdf"
"1977",1978,"Wales",""
"1963",NA,"Bolivia","internal-pdf://3602790318.pdf"
"1967",NA,"Germany",";internal-pdf://0991626011.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Republic of Congo","internal-pdf://0008802016.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Republic of Congo","internal-pdf://0008802016.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Republic of Congo","internal-pdf://0008802016.pdf"
"",NA,"Democratic Republic of Congo","internal-pdf://1827651569.pdf"
"",NA,"Uganda","internal-pdf://3387351113.pdf"
"",NA,"China","internal-pdf://2306046655.pdf"
"",NA,"Philippines","internal-pdf://2699927534.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"2005",2005,"Gabon","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://2364497871.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://1183950013.pdf"
"2003",2006,"Republic of Congo",""
"2001",2003,"Republic of Congo","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://2364497871.pdf"
"",NA,"China","internal-pdf://2306046655.pdf"
"",NA,"China","internal-pdf://2306046655.pdf"
"",NA,"Republic of Congo","internal-pdf://0008802016.pdf"
"2007",2007,"Brazil",NA
"2011",2013,"Ethiopia",NA
"",NA,"Gabon","internal-pdf://3114337506.pdf;internal-pdf://0530841116.pdf"
"",NA,"Gabon","internal-pdf://3114337506.pdf;internal-pdf://0530841116.pdf"
"",NA,"Gabon","internal-pdf://3114337506.pdf;internal-pdf://0530841116.pdf"
"",NA,"Republic of Congo","internal-pdf://3114337506.pdf;internal-pdf://0530841116.pdf"
"2011",2013,"Ethiopia",NA
"2011",2013,"Ethiopia",NA
"2010",2011,"Nigeria",NA
"2010",2011,"Nigeria",NA
"",NA,"Cameroon","internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf"
"",NA,"China","internal-pdf://2306046655.pdf"
"2010",2011,"Nigeria",NA
"",NA,"Philippines","internal-pdf://2699927534.pdf"
"",NA,"China","internal-pdf://2306046655.pdf"
"",NA,"Democratic Republic of Congo","internal-pdf://1827651569.pdf"
"",NA,"Democratic Republic of Congo","internal-pdf://1827651569.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
